"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Apr-2024","EQ","10.95","11.25","10.85","10.75","11.25","11.25","11.10","15.85","7.90","7,96,497","88,45,063.45","2,036"
"04-Apr-2024","EQ","10.75","10.75","10.20","10.25","10.75","10.75","10.61","15.85","7.90","25,40,828","2,69,67,091.25","3,355"
"03-Apr-2024","EQ","10.20","10.25","10.10","9.80","10.25","10.25","10.23","15.85","7.90","3,24,473","33,17,859.25","441"
"02-Apr-2024","EQ","9.65","9.80","9.55","9.35","9.80","9.80","9.75","15.85","7.90","4,05,781","39,55,474.85","518"
"01-Apr-2024","EQ","9.00","9.35","9.00","8.95","9.35","9.35","9.23","15.85","7.90","4,61,992","42,63,612.30","657"
"28-Mar-2024","EQ","9.35","9.60","8.90","9.25","8.95","8.95","9.21","15.85","7.90","25,03,325","2,30,44,394.85","3,174"
"27-Mar-2024","EQ","9.70","9.75","9.20","9.65","9.25","9.25","9.42","15.85","7.90","23,60,985","2,22,34,627.00","2,902"
"26-Mar-2024","EQ","10.05","10.05","9.55","9.90","9.55","9.65","9.74","15.85","7.90","14,90,517","1,45,22,781.75","2,292"
"22-Mar-2024","EQ","10.30","10.30","9.80","10.20","9.90","9.90","9.96","15.85","7.90","19,29,776","1,92,24,810.20","2,505"
"21-Mar-2024","EQ","9.85","10.20","9.75","9.75","10.20","10.20","10.01","15.85","7.90","13,92,268","1,39,43,440.50","2,083"
"20-Mar-2024","EQ","10.10","10.15","9.65","10.05","9.70","9.75","9.83","15.85","7.90","10,39,192","1,02,16,563.75","1,988"
"19-Mar-2024","EQ","10.35","10.45","9.95","10.35","10.05","10.05","10.06","15.85","7.90","10,65,921","1,07,25,547.45","1,956"
"18-Mar-2024","EQ","10.60","10.75","10.05","10.25","10.30","10.35","10.50","15.85","7.90","18,87,721","1,98,12,471.05","2,250"
"15-Mar-2024","EQ","9.80","10.25","9.80","9.80","10.25","10.25","10.11","15.85","7.90","14,71,212","1,48,71,022.80","2,212"
"14-Mar-2024","EQ","9.55","10.10","9.45","9.95","9.80","9.80","9.65","15.85","7.90","35,30,594","3,40,86,082.95","4,137"
"13-Mar-2024","EQ","10.15","10.30","9.95","10.45","9.95","9.95","10.04","15.85","7.90","12,36,323","1,24,13,782.25","1,289"
"12-Mar-2024","EQ","10.85","10.95","10.45","11.00","10.45","10.45","10.53","15.85","7.90","10,49,199","1,10,50,808.25","1,245"
"11-Mar-2024","EQ","11.55","11.75","11.00","11.55","11.00","11.00","11.17","15.85","7.90","11,41,310","1,27,50,079.05","2,119"
"07-Mar-2024","EQ","11.35","11.70","11.35","11.35","11.65","11.55","11.61","15.85","7.90","9,33,452","1,08,37,139.45","1,891"
"06-Mar-2024","EQ","11.80","11.85","11.30","11.90","11.30","11.35","11.46","15.85","7.90","21,61,736","2,47,67,238.25","2,690"
"05-Mar-2024","EQ","12.20","12.50","11.85","12.20","11.85","11.90","12.07","15.85","7.90","13,17,719","1,59,02,352.70","2,172"
"04-Mar-2024","EQ","12.05","12.50","12.00","12.00","12.30","12.20","12.31","15.85","7.90","11,26,231","1,38,64,119.05","1,834"
"02-Mar-2024","EQ","12.05","12.10","11.90","12.10","12.10","12.00","12.00","15.85","7.90","4,52,622","54,32,622.45","850"
"01-Mar-2024","EQ","12.50","12.70","12.00","12.40","12.00","12.10","12.33","15.85","7.90","16,54,016","2,03,98,695.80","2,493"
"29-Feb-2024","EQ","12.85","12.85","12.15","12.50","12.30","12.40","12.39","15.85","7.90","10,24,246","1,26,87,844.90","1,990"
"28-Feb-2024","EQ","12.85","13.05","12.15","12.75","13.00","12.50","12.36","15.85","7.90","35,03,061","4,33,11,532.70","3,522"
"27-Feb-2024","EQ","13.00","13.15","12.70","13.05","12.70","12.75","12.92","15.85","7.90","9,82,072","1,26,91,954.50","2,002"
"26-Feb-2024","EQ","13.40","13.60","13.00","13.35","13.10","13.05","13.22","15.85","7.90","8,40,544","1,11,11,373.80","1,949"
"23-Feb-2024","EQ","13.20","13.75","13.20","13.15","13.40","13.35","13.51","15.85","7.90","11,88,784","1,60,55,160.00","2,144"
"22-Feb-2024","EQ","13.60","13.60","13.00","13.40","13.15","13.15","13.20","15.85","7.90","10,40,256","1,37,30,547.90","2,199"
"21-Feb-2024","EQ","13.85","14.05","13.25","13.80","13.60","13.40","13.61","15.85","7.90","16,18,337","2,20,30,778.10","2,443"
